S.NO,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
1,Rajasthan,AJMER,1997,Kharif     ,Bajra,56600,30400
2,Rajasthan,AJMER,1997,Kharif     ,Cotton(lint),16000,31176
3,Rajasthan,AJMER,1997,Kharif     ,Groundnut,7800,5100
4,Rajasthan,AJMER,1997,Kharif     ,Jowar,105900,34600
5,Rajasthan,AJMER,1997,Kharif     ,Maize,43600,33100
6,Rajasthan,AJMER,1997,Kharif     ,Onion,2800,4500
7,Rajasthan,AJMER,1997,Kharif     ,Rice,100,100
8,Rajasthan,AJMER,1997,Kharif     ,Sesamum,8000,2000
9,Rajasthan,AJMER,1997,Kharif     ,Sugarcane,100,6700
10,Rajasthan,AJMER,1997,Rabi       ,Barley,24700,28900
11,Rajasthan,AJMER,1997,Rabi       ,Gram,98800,94300
12,Rajasthan,AJMER,1997,Rabi       ,Linseed,500,300
13,Rajasthan,AJMER,1997,Rabi       ,Rapeseed &Mustard,36700,25400
14,Rajasthan,AJMER,1997,Rabi       ,Wheat,79300,144500
15,Rajasthan,AJMER,1998,Kharif     ,Arhar/Tur,3,4
16,Rajasthan,AJMER,1998,Kharif     ,Bajra,55089,6045
17,Rajasthan,AJMER,1998,Kharif     ,Castor seed,41,57
18,Rajasthan,AJMER,1998,Kharif     ,Cotton(lint),15031,2145
19,Rajasthan,AJMER,1998,Kharif     ,Groundnut,6377,1628
20,Rajasthan,AJMER,1998,Kharif     ,Jowar,105177,6080
21,Rajasthan,AJMER,1998,Kharif     ,Maize,42823,6998
22,Rajasthan,AJMER,1998,Kharif     ,Moong(Green Gram),40640,1525
23,Rajasthan,AJMER,1998,Kharif     ,Moth,2294,
24,Rajasthan,AJMER,1998,Kharif     ,Other Kharif pulses,3003,14
25,Rajasthan,AJMER,1998,Kharif     ,Rice,28,34
26,Rajasthan,AJMER,1998,Kharif     ,Sannhamp,4,
27,Rajasthan,AJMER,1998,Kharif     ,Sesamum,7722,994
28,Rajasthan,AJMER,1998,Kharif     ,Soyabean,123,162
29,Rajasthan,AJMER,1998,Kharif     ,Urad,5451,378
30,Rajasthan,AJMER,1998,Rabi       ,Barley,21534,40167
31,Rajasthan,AJMER,1998,Rabi       ,Gram,123824,67301
32,Rajasthan,AJMER,1998,Rabi       ,Linseed,939,117
33,Rajasthan,AJMER,1998,Rabi       ,Masoor,6,6
34,Rajasthan,AJMER,1998,Rabi       ,Other  Rabi pulses,16,10
35,Rajasthan,AJMER,1998,Rabi       ,Peas & beans (Pulses),146,410
36,Rajasthan,AJMER,1998,Rabi       ,Rapeseed &Mustard,27203,13797
37,Rajasthan,AJMER,1998,Rabi       ,Wheat,74805,134057
38,Rajasthan,AJMER,1998,Whole Year ,Coriander,260,235
39,Rajasthan,AJMER,1998,Whole Year ,Dry chillies,3504,843
40,Rajasthan,AJMER,1998,Whole Year ,Garlic,6,4
41,Rajasthan,AJMER,1998,Whole Year ,Onion,2809,9137
42,Rajasthan,AJMER,1998,Whole Year ,Potato,24,84
43,Rajasthan,AJMER,1998,Whole Year ,Sugarcane,55,2627
44,Rajasthan,AJMER,1998,Whole Year ,Sweet potato,10,12
45,Rajasthan,AJMER,1999,Kharif     ,Arhar/Tur,3,1
46,Rajasthan,AJMER,1999,Kharif     ,Bajra,57959,5922
47,Rajasthan,AJMER,1999,Kharif     ,Castor seed,143,33
48,Rajasthan,AJMER,1999,Kharif     ,Cotton(lint),14384,1932
49,Rajasthan,AJMER,1999,Kharif     ,Groundnut,4753,1782
50,Rajasthan,AJMER,1999,Kharif     ,Jowar,112136,21196
51,Rajasthan,AJMER,1999,Kharif     ,Maize,38823,27474
52,Rajasthan,AJMER,1999,Kharif     ,Moong(Green Gram),26587,6125
53,Rajasthan,AJMER,1999,Kharif     ,Moth,1819,
54,Rajasthan,AJMER,1999,Kharif     ,Other Kharif pulses,1680,55
55,Rajasthan,AJMER,1999,Kharif     ,Rice,69,87
56,Rajasthan,AJMER,1999,Kharif     ,Sesamum,5501,417
57,Rajasthan,AJMER,1999,Kharif     ,Soyabean,42,51
58,Rajasthan,AJMER,1999,Kharif     ,Urad,2656,942
59,Rajasthan,AJMER,1999,Rabi       ,Barley,12259,17582
60,Rajasthan,AJMER,1999,Rabi       ,Gram,30961,12014
61,Rajasthan,AJMER,1999,Rabi       ,Linseed,107,24
62,Rajasthan,AJMER,1999,Rabi       ,Masoor,2,1
63,Rajasthan,AJMER,1999,Rabi       ,Other  Rabi pulses,6,6
64,Rajasthan,AJMER,1999,Rabi       ,Peas & beans (Pulses),86,146
65,Rajasthan,AJMER,1999,Rabi       ,Rapeseed &Mustard,41337,20544
66,Rajasthan,AJMER,1999,Rabi       ,Wheat,40412,41161
67,Rajasthan,AJMER,1999,Whole Year ,Coriander,137,155
68,Rajasthan,AJMER,1999,Whole Year ,Dry chillies,3621,1243
69,Rajasthan,AJMER,1999,Whole Year ,Garlic,9,3
70,Rajasthan,AJMER,1999,Whole Year ,Guar seed,11231,442
71,Rajasthan,AJMER,1999,Whole Year ,Onion,2057,3505
72,Rajasthan,AJMER,1999,Whole Year ,Potato,2,2
73,Rajasthan,AJMER,1999,Whole Year ,Sannhamp,6,3
74,Rajasthan,AJMER,1999,Whole Year ,Sugarcane,45,1837
75,Rajasthan,AJMER,1999,Whole Year ,Sweet potato,15,8
76,Rajasthan,AJMER,1999,Whole Year ,Tapioca,3,4
77,Rajasthan,AJMER,2000,Kharif     ,Arhar/Tur,43,
78,Rajasthan,AJMER,2000,Kharif     ,Bajra,64826,9494
79,Rajasthan,AJMER,2000,Kharif     ,Castor seed,596,98
80,Rajasthan,AJMER,2000,Kharif     ,Cotton(lint),8155,12341
81,Rajasthan,AJMER,2000,Kharif     ,Groundnut,2661,748
82,Rajasthan,AJMER,2000,Kharif     ,Jowar,123767,12309
83,Rajasthan,AJMER,2000,Kharif     ,Maize,41324,26805
84,Rajasthan,AJMER,2000,Kharif     ,Moong(Green Gram),41920,7758
85,Rajasthan,AJMER,2000,Kharif     ,Moth,2304,91
86,Rajasthan,AJMER,2000,Kharif     ,Other Kharif pulses,1270,75
87,Rajasthan,AJMER,2000,Kharif     ,Rice,31,29
88,Rajasthan,AJMER,2000,Kharif     ,Sesamum,5114,845
89,Rajasthan,AJMER,2000,Kharif     ,Small millets,16,22
90,Rajasthan,AJMER,2000,Kharif     ,Soyabean,15,10
91,Rajasthan,AJMER,2000,Kharif     ,Urad,4274,1111
92,Rajasthan,AJMER,2000,Rabi       ,Barley,10190,14804
93,Rajasthan,AJMER,2000,Rabi       ,Gram,9597,2782
94,Rajasthan,AJMER,2000,Rabi       ,Linseed,107,34
95,Rajasthan,AJMER,2000,Rabi       ,Masoor,1,
96,Rajasthan,AJMER,2000,Rabi       ,Peas & beans (Pulses),56,93
97,Rajasthan,AJMER,2000,Rabi       ,Rapeseed &Mustard,9759,4091
98,Rajasthan,AJMER,2000,Rabi       ,Wheat,34280,41829
99,Rajasthan,AJMER,2000,Whole Year ,Coriander,198,189
100,Rajasthan,AJMER,2000,Whole Year ,Dry chillies,2109,573
101,Rajasthan,AJMER,2000,Whole Year ,Garlic,2,1
102,Rajasthan,AJMER,2000,Whole Year ,Guar seed,14313,687
103,Rajasthan,AJMER,2000,Whole Year ,Onion,1363,2277
104,Rajasthan,AJMER,2000,Whole Year ,Sugarcane,31,1291
105,Rajasthan,AJMER,2000,Whole Year ,Sweet potato,25,20
106,Rajasthan,AJMER,2001,Kharif     ,Arhar/Tur,4,2
107,Rajasthan,AJMER,2001,Kharif     ,Bajra,69903,74461
